"Freq","CATEGORY","PRIMARY_COM_NAME","SCI_NAME","ORDER1","FAMILY","SPECIES_GROUP"
678,"species","Scarlet Tanager","Piranga olivacea","Passeriformes","Cardinalidae (Cardinals and Allies)","Cardinals, Grosbeaks, and Allies"
657,"species","Blue-gray Gnatcatcher","Polioptila caerulea","Passeriformes","Polioptilidae (Gnatcatchers)","Gnatcatchers"
621,"species","Veery","Catharus fuscescens","Passeriformes","Turdidae (Thrushes and Allies)","Thrushes"
560,"species","Barn Swallow","Hirundo rustica","Passeriformes","Hirundinidae (Swallows)","Martins and Swallows"
555,"species","Blackpoll Warbler","Setophaga striata","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
547,"species","Chestnut-sided Warbler","Setophaga pensylvanica","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
533,"species","American Crow","Corvus brachyrhynchos","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens"
488,"species","Palm Warbler","Setophaga palmarum","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
478,"species","House Wren","Troglodytes aedon","Passeriformes","Troglodytidae (Wrens)","Wrens"
469,"species","Wilson's Warbler","Cardellina pusilla","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
459,"species","Black-throated Green Warbler","Setophaga virens","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
441,"species","Cedar Waxwing","Bombycilla cedrorum","Passeriformes","Bombycillidae (Waxwings)","Waxwings"
432,"species","Rose-breasted Grosbeak","Pheucticus ludovicianus","Passeriformes","Cardinalidae (Cardinals and Allies)","Cardinals, Grosbeaks, and Allies"
429,"species","Great Crested Flycatcher","Myiarchus crinitus","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
425,"species","Red-eyed Vireo","Vireo olivaceus","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Vireos"
424,"species","Least Flycatcher","Empidonax minimus","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
421,"species","Eastern Kingbird","Tyrannus tyrannus","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
421,"species","White-breasted Nuthatch","Sitta carolinensis","Passeriformes","Sittidae (Nuthatches)","Nuthatches"
385,"species","Nashville Warbler","Leiothlypis ruficapilla","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
370,"species","Prairie Warbler","Setophaga discolor","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
366,"species","Carolina Wren","Thryothorus ludovicianus","Passeriformes","Troglodytidae (Wrens)","Wrens"
363,"species","Swainson's Thrush","Catharus ustulatus","Passeriformes","Turdidae (Thrushes and Allies)","Thrushes"
363,"species","Dark-eyed Junco","Junco hyemalis","Passeriformes","Passerellidae (New World Sparrows)","New World Sparrows"
361,"species","Cape May Warbler","Setophaga tigrina","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
338,"species","Canada Warbler","Cardellina canadensis","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
332,"species","Orchard Oriole","Icterus spurius","Passeriformes","Icteridae (Troupials and Allies)","Blackbirds"
326,"species","Indigo Bunting","Passerina cyanea","Passeriformes","Cardinalidae (Cardinals and Allies)","Cardinals, Grosbeaks, and Allies"
291,"species","Field Sparrow","Spizella pusilla","Passeriformes","Passerellidae (New World Sparrows)","New World Sparrows"
273,"species","Bay-breasted Warbler","Setophaga castanea","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
268,"species","Northern Rough-winged Swallow","Stelgidopteryx serripennis","Passeriformes","Hirundinidae (Swallows)","Martins and Swallows"
267,"species","Eastern Phoebe","Sayornis phoebe","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
264,"species","Blackburnian Warbler","Setophaga fusca","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
261,"species","Pine Warbler","Setophaga pinus","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
244,"species","Hooded Warbler","Setophaga citrina","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
241,"species","Tree Swallow","Tachycineta bicolor","Passeriformes","Hirundinidae (Swallows)","Martins and Swallows"
228,"species","Eastern Wood-Pewee","Contopus virens","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
190,"species","Louisiana Waterthrush","Parkesia motacilla","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
183,"species","Lincoln's Sparrow","Melospiza lincolnii","Passeriformes","Passerellidae (New World Sparrows)","New World Sparrows"
171,"issf","Yellow-rumped Warbler (Myrtle)","Setophaga coronata coronata","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
159,"species","Fish Crow","Corvus ossifragus","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens"
156,"species","Winter Wren","Troglodytes hiemalis","Passeriformes","Troglodytidae (Wrens)","Wrens"
150,"species","Blue-winged Warbler","Vermivora cyanoptera","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
143,"species","Savannah Sparrow","Passerculus sandwichensis","Passeriformes","Passerellidae (New World Sparrows)","New World Sparrows"
132,"species","Brown Thrasher","Toxostoma rufum","Passeriformes","Mimidae (Mockingbirds and Thrashers)","Catbirds, Mockingbirds, and Thrashers"
121,"species","Golden-crowned Kinglet","Regulus satrapa","Passeriformes","Regulidae (Kinglets)","Kinglets"
121,"species","White-crowned Sparrow","Zonotrichia leucophrys","Passeriformes","Passerellidae (New World Sparrows)","New World Sparrows"
119,"species","Yellow-breasted Chat","Icteria virens","Passeriformes","Icteriidae (Yellow-breasted Chat)","Yellow-breasted Chat"
118,"species","Yellow-throated Vireo","Vireo flavifrons","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Vireos"
110,"species","Fox Sparrow","Passerella iliaca","Passeriformes","Passerellidae (New World Sparrows)","New World Sparrows"
97,"species","Brown Creeper","Certhia americana","Passeriformes","Certhiidae (Treecreepers)","Treecreepers"
89,"species","Worm-eating Warbler","Helmitheros vermivorum","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
84,"species","Tufted Titmouse","Baeolophus bicolor","Passeriformes","Paridae (Tits, Chickadees, and Titmice)","Tits, Chickadees, and Titmice"
77,"species","Common Raven","Corvus corax","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens"
74,"species","Grasshopper Sparrow","Ammodramus savannarum","Passeriformes","Passerellidae (New World Sparrows)","New World Sparrows"
69,"species","Tennessee Warbler","Leiothlypis peregrina","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
65,"species","Rusty Blackbird","Euphagus carolinus","Passeriformes","Icteridae (Troupials and Allies)","Blackbirds"
61,"species","Summer Tanager","Piranga rubra","Passeriformes","Cardinalidae (Cardinals and Allies)","Cardinals, Grosbeaks, and Allies"
60,"species","Gray-cheeked Thrush","Catharus minimus","Passeriformes","Turdidae (Thrushes and Allies)","Thrushes"
59,"issf","Dark-eyed Junco (Slate-colored)","Junco hyemalis hyemalis/carolinensis","Passeriformes","Passerellidae (New World Sparrows)","New World Sparrows"
54,"species","Golden-winged Warbler","Vermivora chrysoptera","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
49,"species","White-eyed Vireo","Vireo griseus","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Vireos"
48,"issf","Palm Warbler (Yellow)","Setophaga palmarum hypochrysea","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
46,"species","Kentucky Warbler","Geothlypis formosa","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
45,"species","Bobolink","Dolichonyx oryzivorus","Passeriformes","Icteridae (Troupials and Allies)","Blackbirds"
41,"issf","Red-winged Blackbird (Red-winged)","Agelaius phoeniceus [phoeniceus Group]","Passeriformes","Icteridae (Troupials and Allies)","Blackbirds"
37,"species","Olive-sided Flycatcher","Contopus cooperi","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
37,"issf","Barn Swallow (American)","Hirundo rustica erythrogaster","Passeriformes","Hirundinidae (Swallows)","Martins and Swallows"
37,"species","Prothonotary Warbler","Protonotaria citrea","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
34,"issf","Yellow Warbler (Northern)","Setophaga petechia [aestiva Group]","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
32,"species","Mourning Warbler","Geothlypis philadelphia","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
30,"species","Blue Grosbeak","Passerina caerulea","Passeriformes","Cardinalidae (Cardinals and Allies)","Cardinals, Grosbeaks, and Allies"
23,"species","Yellow-bellied Flycatcher","Empidonax flaviventris","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
23,"species","Black-capped Chickadee","Poecile atricapillus","Passeriformes","Paridae (Tits, Chickadees, and Titmice)","Tits, Chickadees, and Titmice"
22,"issf","Hermit Thrush (faxoni/crymophilus)","Catharus guttatus faxoni/crymophilus","Passeriformes","Turdidae (Thrushes and Allies)","Thrushes"
21,"species","Marsh Wren","Cistothorus palustris","Passeriformes","Troglodytidae (Wrens)","Wrens"
19,"species","Willow Flycatcher","Empidonax traillii","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
18,"issf","House Wren (Northern)","Troglodytes aedon [aedon Group]","Passeriformes","Troglodytidae (Wrens)","Wrens"
17,"issf","Blue-gray Gnatcatcher (caerulea)","Polioptila caerulea caerulea","Passeriformes","Polioptilidae (Gnatcatchers)","Gnatcatchers"
17,"issf","Swainson's Thrush (Olive-backed)","Catharus ustulatus [swainsoni Group]","Passeriformes","Turdidae (Thrushes and Allies)","Thrushes"
16,"issf","Song Sparrow (melodia/atlantica)","Melospiza melodia melodia/atlantica","Passeriformes","Passerellidae (New World Sparrows)","New World Sparrows"
15,"issf","Warbling Vireo (Eastern)","Vireo gilvus gilvus","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Vireos"
15,"issf","Common Grackle (Purple)","Quiscalus quiscula quiscula/stonei","Passeriformes","Icteridae (Troupials and Allies)","Blackbirds"
15,"species","Yellow-throated Warbler","Setophaga dominica","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
13,"species","Clay-colored Sparrow","Spizella pallida","Passeriformes","Passerellidae (New World Sparrows)","New World Sparrows"
13,"species","Orange-crowned Warbler","Leiothlypis celata","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
12,"species","Acadian Flycatcher","Empidonax virescens","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
11,"issf","White-breasted Nuthatch (Eastern)","Sitta carolinensis carolinensis","Passeriformes","Sittidae (Nuthatches)","Nuthatches"
9,"species","Cliff Swallow","Petrochelidon pyrrhonota","Passeriformes","Hirundinidae (Swallows)","Martins and Swallows"
9,"issf","Fox Sparrow (Red)","Passerella iliaca iliaca/zaboria","Passeriformes","Passerellidae (New World Sparrows)","New World Sparrows"
8,"issf","Common Grackle (Bronzed)","Quiscalus quiscula versicolor","Passeriformes","Icteridae (Troupials and Allies)","Blackbirds"
7,"species","Bank Swallow","Riparia riparia","Passeriformes","Hirundinidae (Swallows)","Martins and Swallows"
5,"issf","White-crowned Sparrow (leucophrys)","Zonotrichia leucophrys leucophrys","Passeriformes","Passerellidae (New World Sparrows)","New World Sparrows"
5,"issf","Savannah Sparrow (Savannah)","Passerculus sandwichensis [sandwichensis Group]","Passeriformes","Passerellidae (New World Sparrows)","New World Sparrows"
4,"species","Red-breasted Nuthatch","Sitta canadensis","Passeriformes","Sittidae (Nuthatches)","Nuthatches"
4,"species","Vesper Sparrow","Pooecetes gramineus","Passeriformes","Passerellidae (New World Sparrows)","New World Sparrows"
3,"species","European Goldfinch","Carduelis carduelis","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Finches, Euphonias, and Allies"
3,"species","Cerulean Warbler","Setophaga cerulea","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
3,"issf","Palm Warbler (Western)","Setophaga palmarum palmarum","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
2,"species","Alder Flycatcher","Empidonax alnorum","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
2,"species","Eastern Bluebird","Sialia sialis","Passeriformes","Turdidae (Thrushes and Allies)","Thrushes"
2,"species","Purple Finch","Haemorhous purpureus","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Finches, Euphonias, and Allies"
2,"issf","Yellow-throated Warbler (dominica/stoddardi)","Setophaga dominica dominica/stoddardi","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
1,"species","Purple Martin","Progne subis","Passeriformes","Hirundinidae (Swallows)","Martins and Swallows"
1,"species","American Pipit","Anthus rubescens","Passeriformes","Motacillidae (Wagtails and Pipits)","Wagtails and Pipits"
1,"issf","House Finch (Common)","Haemorhous mexicanus [mexicanus Group]","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Finches, Euphonias, and Allies"
1,"species","American Tree Sparrow","Spizelloides arborea","Passeriformes","Passerellidae (New World Sparrows)","New World Sparrows"
1,"issf","Yellow-breasted Chat (virens)","Icteria virens virens","Passeriformes","Icteriidae (Yellow-breasted Chat)","Yellow-breasted Chat"
1,"issf","Yellow-throated Warbler (albilora)","Setophaga dominica albilora","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
